Iteration 1/500: F1 score = 0.6659611640435492, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.0001, 'batch_size': 64}
Iteration 2/500: F1 score = 0.4877457246430111, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.0001, 'batch_size': 128}
Iteration 3/500: F1 score = 0.4976587765132901, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.0001, 'batch_size': 256}
Iteration 4/500: F1 score = 0.6588076196430287, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.0001, 'batch_size': 512}
Iteration 5/500: F1 score = 0.28067765892031094, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.0001, 'batch_size': 1024}
Iteration 6/500: F1 score = 0.6914900477226031, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.001, 'batch_size': 64}
Iteration 7/500: F1 score = 0.43196883675351266, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.001, 'batch_size': 128}
Iteration 8/500: F1 score = 0.3770812445887051, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.001, 'batch_size': 256}
Iteration 9/500: F1 score = 0.6425685777935716, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.001, 'batch_size': 512}
Iteration 10/500: F1 score = 0.43615717808052495, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.001, 'batch_size': 1024}
Iteration 11/500: F1 score = 0.6994416481741587, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.01, 'batch_size': 64}
Iteration 12/500: F1 score = 0.6838623326664783, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.01, 'batch_size': 128}
Iteration 13/500: F1 score = 0.6981437172239411, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.01, 'batch_size': 256}
Iteration 14/500: F1 score = 0.5864323767883388, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.01, 'batch_size': 512}
Iteration 15/500: F1 score = 0.31154936452009063, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.01, 'batch_size': 1024}
Iteration 16/500: F1 score = 0.6733056025780245, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.1, 'batch_size': 64}
Iteration 17/500: F1 score = 0.28370145126635554, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.1, 'batch_size': 128}
Iteration 18/500: F1 score = 0.6875562331414167, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.1, 'batch_size': 256}
Iteration 19/500: F1 score = 0.6984799159608902, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.1, 'batch_size': 512}
Iteration 20/500: F1 score = 0.6750450803472083, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.1, 'batch_size': 1024}
Iteration 21/500: F1 score = 0.6951723115505284, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 1, 'batch_size': 64}
Iteration 22/500: F1 score = 0.6746825537156173, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 1, 'batch_size': 128}
Iteration 23/500: F1 score = 0.39680810274898426, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 1, 'batch_size': 256}
Iteration 24/500: F1 score = 0.6867310852860075, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 1, 'batch_size': 512}
Iteration 25/500: F1 score = 0.3362486114291173, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 1, 'batch_size': 1024}
Iteration 26/500: F1 score = 0.5706031335896228, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 0.0001, 'batch_size': 64}
Iteration 27/500: F1 score = 0.3236446781011097, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 0.0001, 'batch_size': 128}
Iteration 28/500: F1 score = 0.4310332393867779, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 0.0001, 'batch_size': 256}
Iteration 29/500: F1 score = 0.18832135018084875, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 0.0001, 'batch_size': 512}
Iteration 30/500: F1 score = 0.39654355252440565, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 0.0001, 'batch_size': 1024}
Iteration 31/500: F1 score = 0.627990894426958, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 0.001, 'batch_size': 64}
Iteration 32/500: F1 score = 0.6853297993400945, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 0.001, 'batch_size': 128}
Iteration 33/500: F1 score = 0.4598575481433121, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 0.001, 'batch_size': 256}
Iteration 34/500: F1 score = 0.5654590022437125, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 0.001, 'batch_size': 512}
Iteration 35/500: F1 score = 0.14893997821400648, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 0.001, 'batch_size': 1024}
Iteration 36/500: F1 score = 0.6789271200627244, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 0.01, 'batch_size': 64}
Iteration 37/500: F1 score = 0.22673482805585995, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 0.01, 'batch_size': 128}
Iteration 38/500: F1 score = 0.6990142195100836, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 0.01, 'batch_size': 256}
Iteration 39/500: F1 score = 0.6501544406998004, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 0.01, 'batch_size': 512}
Iteration 40/500: F1 score = 0.6649204313747967, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 0.01, 'batch_size': 1024}
Iteration 41/500: F1 score = 0.6520321129324818, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 0.1, 'batch_size': 64}
Iteration 42/500: F1 score = 0.6628670072387953, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 0.1, 'batch_size': 128}
Iteration 43/500: F1 score = 0.40171990573605615, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 0.1, 'batch_size': 256}
Iteration 44/500: F1 score = 0.690576256303923, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 0.1, 'batch_size': 512}
Iteration 45/500: F1 score = 0.6947864345074745, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 0.1, 'batch_size': 1024}
Iteration 46/500: F1 score = 0.6581735410079181, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 1, 'batch_size': 64}
Iteration 47/500: F1 score = 0.702699026954534, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 1, 'batch_size': 128}
Iteration 48/500: F1 score = 0.7145310299676321, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 1, 'batch_size': 256}
Iteration 49/500: F1 score = 0.286002245594884, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 1, 'batch_size': 512}
Iteration 50/500: F1 score = 0.13646700091138622, params = {'learning_rate': 0.0001, 'dropout_rate': 0.2, 'l2_lambda': 1, 'batch_size': 1024}
Iteration 51/500: F1 score = 0.665599144641209, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 0.0001, 'batch_size': 64}
Iteration 52/500: F1 score = 0.62278057366462, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 0.0001, 'batch_size': 128}
Iteration 53/500: F1 score = 0.6871281033089996, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 0.0001, 'batch_size': 256}
Iteration 54/500: F1 score = 0.4621566932343049, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 0.0001, 'batch_size': 512}
Iteration 55/500: F1 score = 0.33110419591804097, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 0.0001, 'batch_size': 1024}
Iteration 56/500: F1 score = 0.6987889063565097, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 0.001, 'batch_size': 64}
Iteration 57/500: F1 score = 0.6896652744762459, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 0.001, 'batch_size': 128}
Iteration 58/500: F1 score = 0.6769520653002249, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 0.001, 'batch_size': 256}
Iteration 59/500: F1 score = 0.6842352726488264, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 0.001, 'batch_size': 512}
Iteration 60/500: F1 score = 0.6527802348530983, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 0.001, 'batch_size': 1024}
Iteration 61/500: F1 score = 0.670135595232455, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 0.01, 'batch_size': 64}
Iteration 62/500: F1 score = 0.671685941566713, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 0.01, 'batch_size': 128}
Iteration 63/500: F1 score = 0.6818749994188692, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 0.01, 'batch_size': 256}
Iteration 64/500: F1 score = 0.4741007616019441, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 0.01, 'batch_size': 512}
Iteration 65/500: F1 score = 0.5688621919561289, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 0.01, 'batch_size': 1024}
Iteration 66/500: F1 score = 0.7092553504323784, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 0.1, 'batch_size': 64}
Iteration 67/500: F1 score = 0.6752210425730464, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 0.1, 'batch_size': 128}
Iteration 68/500: F1 score = 0.6957114307834211, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 0.1, 'batch_size': 256}
Iteration 69/500: F1 score = 0.2936176706920886, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 0.1, 'batch_size': 512}
Iteration 70/500: F1 score = 0.6290861113041045, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 0.1, 'batch_size': 1024}
Iteration 71/500: F1 score = 0.6405910479621869, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 1, 'batch_size': 64}
Iteration 72/500: F1 score = 0.6789728780656598, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 1, 'batch_size': 128}
Iteration 73/500: F1 score = 0.2510538910736363, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 1, 'batch_size': 256}
Iteration 74/500: F1 score = 0.13421769617384866, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 1, 'batch_size': 512}
Iteration 75/500: F1 score = 0.6748852235668328, params = {'learning_rate': 0.0001, 'dropout_rate': 0.3, 'l2_lambda': 1, 'batch_size': 1024}
Iteration 76/500: F1 score = 0.5173534453591575, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 0.0001, 'batch_size': 64}
Iteration 77/500: F1 score = 0.6728627070202254, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 0.0001, 'batch_size': 128}
Iteration 78/500: F1 score = 0.4114436547469404, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 0.0001, 'batch_size': 256}
Iteration 79/500: F1 score = 0.6735365776057924, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 0.0001, 'batch_size': 512}
Iteration 80/500: F1 score = 0.7088964855595791, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 0.0001, 'batch_size': 1024}
Iteration 81/500: F1 score = 0.37591895038724527, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 0.001, 'batch_size': 64}
Iteration 82/500: F1 score = 0.36563392262642, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 0.001, 'batch_size': 128}
Iteration 83/500: F1 score = 0.645408353248114, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 0.001, 'batch_size': 256}
Iteration 84/500: F1 score = 0.5680793780138571, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 0.001, 'batch_size': 512}
Iteration 85/500: F1 score = 0.644497916222862, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 0.001, 'batch_size': 1024}
Iteration 86/500: F1 score = 0.6525936212985911, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 0.01, 'batch_size': 64}
Iteration 87/500: F1 score = 0.31508151058869815, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 0.01, 'batch_size': 128}
Iteration 88/500: F1 score = 0.4168291403258093, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 0.01, 'batch_size': 256}
Iteration 89/500: F1 score = 0.6707189383008342, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 0.01, 'batch_size': 512}
Iteration 90/500: F1 score = 0.2544515091166759, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 0.01, 'batch_size': 1024}
Iteration 91/500: F1 score = 0.6923998826935689, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 0.1, 'batch_size': 64}
Iteration 92/500: F1 score = 0.6549838915975787, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 0.1, 'batch_size': 128}
Iteration 93/500: F1 score = 0.2601737114874558, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 0.1, 'batch_size': 256}
Iteration 94/500: F1 score = 0.5101035641515864, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 0.1, 'batch_size': 512}
Iteration 95/500: F1 score = 0.14923574755682353, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 0.1, 'batch_size': 1024}
Iteration 96/500: F1 score = 0.6823683525472566, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 1, 'batch_size': 64}
Iteration 97/500: F1 score = 0.6820818920532398, params = {'learning_rate': 0.0001, 'dropout_rate': 0.4, 'l2_lambda': 1, 'batch_size': 128}
